Term,Coefficient
u * du/dx1 or du/dx1 * u,-0.13027958632896275
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,0.0005565193817592351
du/dx0,-0.00791252688060718
d^2u/dx1^2,0.0003696552734829942
u * du/dx1 or du/dx1 * u,-0.15921238713208657
du/dx0,-1.0
du/dx0,-0.010143414479991805
du/dx0,0.04217608639591304
d^2u/dx1^2,-0.0667156805934838
du/dx0,-0.004505444388967681
d^2u/dx1^2,0.0006397433244069522
u * du/dx1 or du/dx1 * u,0.30562491676515974
du/dx0,0.0421760863959073
d^2u/dx1^2,-0.06671568059348258
du/dx0,-0.004019453570270596
du/dx0,-0.005866131331602186
u * du/dx1 or du/dx1 * u,-0.14281314136719417
du/dx0,-1.0
d^2u/dx1^2,0.04601170072681123
u * du/dx1 or du/dx1 * u,-0.0008232097180424862
du/dx0,-0.007000795974852788
d^2u/dx1^2,0.0009961978358076662
u * du/dx1 or du/dx1 * u,-0.15755259976803254
du/dx0,-1.0
d^2u/dx1^2,0.05951652812693785
du/dx0,-0.0060007171837196255
d^2u/dx1^2,0.0008721636692873339
du/dx0,-0.017310967192641285
d^2u/dx1^2,-0.017979093614532256
u * du/dx1 or du/dx1 * u,-0.00026048235272570095
du/dx0,-0.004800120279714039
du/dx0,-0.006345590894331533
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-4.270462452110134
d^2u/dx1^2,0.5105118553923036
u * du/dx1 or du/dx1 * u,-0.1811486615160718
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,0.010836323194902641
d^2u/dx1^2,0.0004372927260867945
d^2u/dx1^2,0.3898575892527686
u * du/dx1 or du/dx1 * u,-0.0008232097180424901
du/dx0,-0.007000795974852818
d^2u/dx1^2,0.0009961978358076628
du/dx0,-0.0037757321349769224
d^2u/dx1^2,0.0005747104996902988
u * du/dx1 or du/dx1 * u,0.3056249167651613
u * du/dx1 or du/dx1 * u,0.5245248225919187
du/dx0,0.9681501850810559
d^2u/dx1^2,-0.49845676807666195
u * du/dx1 or du/dx1 * u,0.00014525186614311428
du/dx0,-0.0040813746887167586
d^2u/dx1^2,-1.0
u * du/dx1 or du/dx1 * u,0.00023333167816621286
du/dx0,-0.004268237722966078
d^2u/dx1^2,-0.0008100207473684495
du/dx0,-0.004443134184258313
u * du/dx1 or du/dx1 * u,0.0010048787233887392
d^2u/dx1^2,-0.0011969255560388156
du/dx0,-0.00513397198091876
d^2u/dx1^2,0.0004444883937743884
u * du/dx1 or du/dx1 * u,0.001237653486986352
du/dx0,-1.7461691751316986
d^2u/dx1^2,-1.0
u * du/dx1 or du/dx1 * u,-0.1707936027143866
du/dx0,-1.0
d^2u/dx1^2,0.08178509051572998
u * du/dx1 or du/dx1 * u,0.00013690148139221085
du/dx0,-0.0043433758819636905
du/dx0,-0.006379235065844855
u * du/dx1 or du/dx1 * u,-0.0009355671287202695
du/dx0,-0.007968225984202588
d^2u/dx1^2,0.001088470180162422
u * du/dx1 or du/dx1 * u,-0.15755259976803332
du/dx0,-1.0
d^2u/dx1^2,0.059516528126938445
du/dx0,-0.005866131331602152
u * du/dx1 or du/dx1 * u,0.0006002209817668041
du/dx0,-0.0010233310533939663
d^2u/dx1^2,-0.0006247144477658162
du/dx0,-0.004019453570270596
u * du/dx1 or du/dx1 * u,-0.0009639896735943645
du/dx0,-0.008127468136130203
d^2u/dx1^2,0.0011150353911852557
d^2u/dx1^2,0.009448931534790352
u * du/dx1 or du/dx1 * u,-0.0009639896735943105
du/dx0,-0.008127468136130023
d^2u/dx1^2,0.0011150353911852512
du/dx0,-0.004289009110475964
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-4.270462452110141
d^2u/dx1^2,0.5105118553923113
u * du/dx1 or du/dx1 * u,0.0001369014813921945
du/dx0,-0.004343375881963466
d^2u/dx1^2,0.3898575892527797
d^2u/dx1^2,0.009448931534790369
u * du/dx1 or du/dx1 * u,-0.0003541920579585677
du/dx0,-0.005516345649226654
du/dx0,-0.004163322028089611
u * du/dx1 or du/dx1 * u,-0.0009639896735943137
du/dx0,-0.008127468136129945
d^2u/dx1^2,0.0011150353911852557
u * du/dx1 or du/dx1 * u,-0.0009639896735944044
du/dx0,-0.008127468136130488
d^2u/dx1^2,0.0011150353911852562
u * du/dx1 or du/dx1 * u,0.00013690148139219903
du/dx0,-0.004343375881963343
u * du/dx1 or du/dx1 * u,-0.11601308760043903
du/dx0,-1.0
du/dx0,-0.0042932972144071714
d^2u/dx1^2,-0.0002681160456225381
u * du/dx1 or du/dx1 * u,-0.14281314136719397
du/dx0,-1.0
d^2u/dx1^2,0.04601170072681156
du/dx0,-0.005133971980918918
d^2u/dx1^2,0.00044448839377424486
u * du/dx1 or du/dx1 * u,-0.1480291591008663
du/dx0,-1.0
d^2u/dx1^2,0.054978997713012075
u * du/dx1 or du/dx1 * u,0.01622728266183712
du/dx0,-0.02976240078315299
d^2u/dx1^2,-0.005239224985063779
u * du/dx1 or du/dx1 * u,0.01714496167854128
du/dx0,-0.007829091797897526
du/dx0,-0.006531195537248794
d^2u/dx1^2,-0.0007942083822444606
u * du/dx1 or du/dx1 * u,0.0005384373284094661
d^2u/dx1^2,-0.00021846211596817966
du/dx0,-1.0
