Term,Coefficient
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9251408356331204
d^2u/dx1^2,0.06604825341144513
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9174009175408424
d^2u/dx1^2,0.060447663467333976
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9541134857681185
d^2u/dx1^2,0.053447363942982364
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.916820185651169
d^2u/dx1^2,0.06038119178202832
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9251408356331207
d^2u/dx1^2,0.06604825341144493
u * du/dx1 or du/dx1 * u,1.1555437322723503
du/dx0,1.6763113086844963
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.918860884360479
d^2u/dx1^2,0.06537837466440864
u * du/dx1 or du/dx1 * u,-1.04542139863284
du/dx0,-1.0
d^2u/dx1^2,0.06713887308517302
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.908935872433121
d^2u/dx1^2,0.05345561445738856
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9120217414062195
d^2u/dx1^2,0.06036735468912614
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9065974985146068
d^2u/dx1^2,0.058263682819660406
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.956633862277659
d^2u/dx1^2,0.05308861827473272
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9185479099728684
d^2u/dx1^2,0.060228819302514267
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.8455982149076614
d^2u/dx1^2,0.07360602240562696
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9174742291983021
d^2u/dx1^2,0.06543982007736168
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9188608843604779
d^2u/dx1^2,0.0653783746644087
u * du/dx1 or du/dx1 * u,-0.5924560919428075
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9174742291983026
d^2u/dx1^2,0.06543982007736178
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9236114711192646
d^2u/dx1^2,0.06442207384826003
u * du/dx1 or du/dx1 * u,-1.0214088986314787
du/dx0,-1.0
d^2u/dx1^2,0.05417572742314122
u * du/dx1 or du/dx1 * u,-1.05195762509455
du/dx0,-1.0
d^2u/dx1^2,0.06730086452445727
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9268922180853465
d^2u/dx1^2,0.0655177485438681
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9093160843133268
d^2u/dx1^2,0.06661831509594457
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9515859919977181
d^2u/dx1^2,0.053362427138486754
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9515859919977184
d^2u/dx1^2,0.05336242713848673
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9236964255227037
d^2u/dx1^2,0.0658608941646964
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.9188608843604775
d^2u/dx1^2,0.06537837466440866
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-1.004076288694698
d^2u/dx1^2,0.05876030125090144
u * du/dx1 or du/dx1 * u,0.5873639696314491
du/dx0,0.35243295118855017
u * du/dx1 or du/dx1 * u,-1.0
