Term,Coefficient
du/dx0,-0.11610606742401995
du/dx0,-0.16797642176684677
u * du/dx1 or du/dx1 * u,-0.051007117267950465
du/dx0,-0.18854879679496644
du/dx0,-0.19046348354190032
d^2u/dx1^2,0.012605662919213037
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.5814294675407805
d^2u/dx1^2,0.06891693895189026
du/dx0,-1.0
d^2u/dx1^2,-0.034403811456811345
u * du/dx1 or du/dx1 * u,-0.0495783463137631
du/dx0,-0.1787018362140644
u * du/dx1 or du/dx1 * u,0.006487954291762381
du/dx0,-0.07768567413113657
u * du/dx1 or du/dx1 * u,-0.45585238000141903
du/dx0,-1.0
du/dx0,-0.10792694919152739
d^2u/dx1^2,-0.0006654533121431269
du/dx0,-0.13008279951574694
d^2u/dx1^2,0.009562814785542948
u * du/dx1 or du/dx1 * u,0.1234682771278727
du/dx0,-0.028622102146427436
du/dx0,-0.12299274145560894
d^2u/dx1^2,0.01465180207061495
u * du/dx1 or du/dx1 * u,-0.051007117267951325
du/dx0,-0.18854879679496675
du/dx0,-0.12911854699741393
du/dx0,-0.07371492168236787
d^2u/dx1^2,0.011063746720672034
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.5777107073310439
d^2u/dx1^2,0.03175802705865854
du/dx0,-0.1300827995157469
d^2u/dx1^2,0.009562814785542974
u * du/dx1 or du/dx1 * u,-0.11046739425171567
du/dx0,-0.1290997445024565
d^2u/dx1^2,0.004880948901445587
u * du/dx1 or du/dx1 * u,-0.08570643810551061
du/dx0,-0.17902096906127227
d^2u/dx1^2,0.002427836524042541
u * du/dx1 or du/dx1 * u,0.1470989006228331
u * du/dx1 or du/dx1 * u,-0.07551466886000674
du/dx0,-0.14317835672139798
d^2u/dx1^2,0.007335039164551602
u * du/dx1 or du/dx1 * u,0.1519679718961167
du/dx0,0.00644174795352236
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.7253316249771642
d^2u/dx1^2,0.0017695814034193217
du/dx0,-0.12723878896738317
u * du/dx1 or du/dx1 * u,0.06578761544240944
u * du/dx1 or du/dx1 * u,0.10042004094338815
d^2u/dx1^2,0.010626801193407085
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.6285339096328716
d^2u/dx1^2,0.06918195387648969
du/dx0,-6.153882622836827
d^2u/dx1^2,-1.0
du/dx0,-0.12730790486908664
d^2u/dx1^2,0.012020863927512811
d^2u/dx1^2,0.02564068877149034
du/dx0,-0.12024123184683935
d^2u/dx1^2,0.010424022405064608
d^2u/dx1^2,0.012941621384051348
du/dx0,-0.06386140138164748
d^2u/dx1^2,-0.004385949372172525
du/dx0,-0.17702028268117612
d^2u/dx1^2,0.01213645802436931
du/dx0,-0.08179194992078682
du/dx0,-0.09219762280894532
du/dx0,-0.1562576406506681
d^2u/dx1^2,-0.0031060499570227445
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.6226745922360738
d^2u/dx1^2,0.06904403520061413
du/dx0,-0.17087334205509078
u * du/dx1 or du/dx1 * u,0.13056541671398852
d^2u/dx1^2,0.012950687214105673
u * du/dx1 or du/dx1 * u,0.23263575009062376
du/dx0,-0.4028342856552713
d^2u/dx1^2,0.002074159510280915
du/dx0,-0.08179194992078666
du/dx0,-0.17649084392055683
d^2u/dx1^2,0.011810004408592516
u * du/dx1 or du/dx1 * u,-0.7627546151679242
du/dx0,-1.0
d^2u/dx1^2,0.03235612816944743
u * du/dx1 or du/dx1 * u,-0.07551466886000698
du/dx0,-0.14317835672139803
d^2u/dx1^2,0.0073350391645500305
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.587292786473808
d^2u/dx1^2,0.06410197097319725
du/dx0,-0.13104111213674355
u * du/dx1 or du/dx1 * u,-0.7627546151679248
du/dx0,-1.0
d^2u/dx1^2,0.032356128169446906
u * du/dx1 or du/dx1 * u,-0.06529299137462323
du/dx0,-0.1977385801004149
d^2u/dx1^2,0.0014467601170757446
u * du/dx1 or du/dx1 * u,0.11062561357580275
d^2u/dx1^2,-0.006657988507992374
u * du/dx1 or du/dx1 * u,1.3201457835148722
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.6207224778767247
d^2u/dx1^2,0.033981296202063915
u * du/dx1 or du/dx1 * u,-0.1104673942517157
du/dx0,-0.1290997445024569
d^2u/dx1^2,0.004880948901445635
du/dx0,-0.12299274145560807
d^2u/dx1^2,0.014651802070615103
u * du/dx1 or du/dx1 * u,0.03958031203434956
d^2u/dx1^2,0.013051077557049177
du/dx0,-0.16670534137126886
