Term,Coefficient
u * du/dx1 or du/dx1 * u,-0.009297035596785786
du/dx0,-0.0002246885452809745
du/dx0,-1.0
d^2u/dx1^2,-0.15904115158196153
d^2u/dx1^2,-0.00030838561731983864
u * du/dx1 or du/dx1 * u,-0.004424633405509007
u * du/dx1 or du/dx1 * u,0.004582165963675509
du/dx0,0.005706279109039062
du/dx0,0.006078504695771924
u * du/dx1 or du/dx1 * u,0.008438448264159104
du/dx0,0.000170417554255211
du/dx0,-1.0
d^2u/dx1^2,-0.15904115158196153
du/dx0,-1.0
d^2u/dx1^2,-0.1590411515819617
u * du/dx1 or du/dx1 * u,0.006814131016287132
u * du/dx1 or du/dx1 * u,0.005174719109083047
d^2u/dx1^2,-0.009698665926370151
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-0.012711497719752949
du/dx0,-0.0003843659369505294
u * du/dx1 or du/dx1 * u,-0.00012068935210691275
d^2u/dx1^2,-0.0001057287111674192
d^2u/dx1^2,-1.7870847707911937
du/dx0,-0.00021459696578712435
u * du/dx1 or du/dx1 * u,0.004716433807830368
du/dx0,0.0001130033452263233
d^2u/dx1^2,-1.7870847707911937
u * du/dx1 or du/dx1 * u,-0.008701546660101188
du/dx0,0.0060785046957724
du/dx0,-1.0
d^2u/dx1^2,-0.15904115158196153
d^2u/dx1^2,-0.00947661938331103
u * du/dx1 or du/dx1 * u,0.006814131016286654
du/dx0,0.004308182932875503
d^2u/dx1^2,-0.010268661198939938
du/dx0,-1.0
d^2u/dx1^2,-0.15904115158196153
u * du/dx1 or du/dx1 * u,-0.2921985991671706
du/dx0,-1.0
d^2u/dx1^2,-0.1590411515819617
du/dx0,-1.0
d^2u/dx1^2,-0.1590411515819617
du/dx0,-1.0
d^2u/dx1^2,-0.15904115158196153
du/dx0,-1.0
d^2u/dx1^2,-0.1590411515819617
u * du/dx1 or du/dx1 * u,0.00903163064426315
d^2u/dx1^2,-1.7870847707911912
d^2u/dx1^2,0.005156236369023474
u * du/dx1 or du/dx1 * u,0.006814131016286724
d^2u/dx1^2,-1.7870847707911912
d^2u/dx1^2,-0.00012316555211962788
d^2u/dx1^2,-1.7870847707911912
d^2u/dx1^2,0.005232384529606458
d^2u/dx1^2,0.005232384529606269
d^2u/dx1^2,0.00523238452960362
u * du/dx1 or du/dx1 * u,0.005919229593982644
du/dx0,0.00018732709696993386
du/dx0,-1.0
d^2u/dx1^2,-0.15904115158196153
du/dx0,-1.0
d^2u/dx1^2,-0.15904115158196153
du/dx0,-1.0
d^2u/dx1^2,-0.15904115158196153
d^2u/dx1^2,-0.0001230225554404897
du/dx0,-1.0
d^2u/dx1^2,-0.1590411515819617
u * du/dx1 or du/dx1 * u,0.004582165963675793
du/dx0,0.0057062791090391595
u * du/dx1 or du/dx1 * u,0.004582165963675518
du/dx0,0.005706279109039932
d^2u/dx1^2,-0.0016430671672974858
d^2u/dx1^2,0.005232384529607492
d^2u/dx1^2,-1.7870847707911937
du/dx0,-0.00022869101843655528
d^2u/dx1^2,-0.00737417525946707
u * du/dx1 or du/dx1 * u,0.009031630644259854
d^2u/dx1^2,-0.0003083856173203153
u * du/dx1 or du/dx1 * u,0.006814131016285724
u * du/dx1 or du/dx1 * u,0.008446147166051651
u * du/dx1 or du/dx1 * u,0.033384919098684636
du/dx0,-0.00020236916375363518
d^2u/dx1^2,0.0032267275089131555
u * du/dx1 or du/dx1 * u,0.00903163064426833
u * du/dx1 or du/dx1 * u,-0.5124757270135342
d^2u/dx1^2,-0.00017959250876490974
du/dx0,-1.0
d^2u/dx1^2,-0.1590411515819617
d^2u/dx1^2,0.0007408501626406558
u * du/dx1 or du/dx1 * u,0.0054087500844660534
d^2u/dx1^2,0.00035062665271511225
d^2u/dx1^2,0.005232384529607492
d^2u/dx1^2,-1.7870847707911937
u * du/dx1 or du/dx1 * u,0.0002600746930625647
u * du/dx1 or du/dx1 * u,0.0015731473113756726
du/dx0,0.00013492826183337825
