Term,Coefficient
d^2u/dx1^2,-1.7866392457191456
d^2u/dx1^2,0.0013503414842642885
u * du/dx1 or du/dx1 * u,0.009430808967314408
u * du/dx1 or du/dx1 * u,0.008196293608812542
d^2u/dx1^2,-1.7866392457191456
d^2u/dx1^2,-1.8103076386914614
du/dx0,-1.0
d^2u/dx1^2,-0.15130413886902966
d^2u/dx1^2,-1.8103076386914627
du/dx0,-1.0
d^2u/dx1^2,-0.15130413886902966
d^2u/dx1^2,-1.8103076386914627
d^2u/dx1^2,-1.8103076386914614
d^2u/dx1^2,-1.8103076386914627
u * du/dx1 or du/dx1 * u,0.004244098495339493
d^2u/dx1^2,0.07213969349451053
d^2u/dx1^2,-1.8103076386914627
u * du/dx1 or du/dx1 * u,-0.5121151777531064
d^2u/dx1^2,-1.7866392457191456
d^2u/dx1^2,-1.8103076386914614
u * du/dx1 or du/dx1 * u,0.0006046425773409218
u * du/dx1 or du/dx1 * u,-0.00023519226437675446
d^2u/dx1^2,-1.8103076386914627
u * du/dx1 or du/dx1 * u,-0.5121151777531064
d^2u/dx1^2,-1.7866392457191456
d^2u/dx1^2,-1.8103076386914627
u * du/dx1 or du/dx1 * u,0.004667378094664078
du/dx0,-1.0
du/dx0,0.005753931139777272
d^2u/dx1^2,-1.8103076386914627
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,0.0002867560256895979
d^2u/dx1^2,-0.0514523981383546
u * du/dx1 or du/dx1 * u,0.0014042838010225318
du/dx0,-0.00029125785220588226
du/dx0,-1.0
d^2u/dx1^2,-0.15130413886902966
u * du/dx1 or du/dx1 * u,0.008196293608811758
du/dx0,-0.00021359256607342668
u * du/dx1 or du/dx1 * u,0.00011669167202595901
u * du/dx1 or du/dx1 * u,0.012366317578002758
d^2u/dx1^2,-1.7866392457191456
u * du/dx1 or du/dx1 * u,-0.016895904066527082
d^2u/dx1^2,-0.00899178681212207
u * du/dx1 or du/dx1 * u,-0.5121151777531064
u * du/dx1 or du/dx1 * u,0.010105297056204948
d^2u/dx1^2,-1.8103076386914614
d^2u/dx1^2,0.000635792794917499
d^2u/dx1^2,-1.8103076386914627
d^2u/dx1^2,-1.7866392457191456
u * du/dx1 or du/dx1 * u,0.004168039468615384
d^2u/dx1^2,-1.8103076386914627
u * du/dx1 or du/dx1 * u,0.00030471843196757905
du/dx0,-0.0002752517891151291
d^2u/dx1^2,-0.009314845478323118
d^2u/dx1^2,-1.7866392457191456
u * du/dx1 or du/dx1 * u,0.0014910916022067519
du/dx0,-1.0
d^2u/dx1^2,-0.15130413886902966
d^2u/dx1^2,-0.001051778041935452
du/dx0,-0.0002527559602786261
d^2u/dx1^2,-1.7866392457191456
du/dx0,0.00013728430766032652
du/dx0,-1.0
d^2u/dx1^2,-0.15130413886902966
d^2u/dx1^2,-1.8103076386914627
d^2u/dx1^2,-1.8103076386914614
d^2u/dx1^2,-1.8103076386914627
du/dx0,-1.0
d^2u/dx1^2,-0.15130413886902966
du/dx0,-0.0002585022120602971
u * du/dx1 or du/dx1 * u,-0.2926616033526149
d^2u/dx1^2,-0.015880944074551616
d^2u/dx1^2,-1.7866392457191456
d^2u/dx1^2,-1.8103076386914627
d^2u/dx1^2,-1.7866392457191456
u * du/dx1 or du/dx1 * u,0.00011669167202595901
du/dx0,-0.0014961342995492893
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.8103076386914627
