Term,Coefficient
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-2.0005686509979
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,0.2986436338465408
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.15637404771124402
d^3u/dx1^3,-0.1689098899365235
u * du/dx1 or du/dx1 * u,2.2704694013294993
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-1.0
u * du/dx1 or du/dx1 * u,-0.6828546706434356
du/dx0,-0.03305650559157871
du/dx0,-0.007178345714395394
u * du/dx1 or du/dx1 * u,-2.002145794318813
u * du/dx1 or du/dx1 * u,-2.002145794318813
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.15819226726349617
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,0.012301010556995867
du/dx0,0.0008658422482326536
u * du/dx1 or du/dx1 * u,1.1660080807976985
du/dx0,-0.4984538624467702
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.15637404771124402
d^3u/dx1^3,-0.1689098899365234
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-1.0
d^3u/dx1^3,-0.0712368197770993
u * du/dx1 or du/dx1 * u,-1.0
u * du/dx1 or du/dx1 * u,-1.0
u * du/dx1 or du/dx1 * u,-1.0
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,0.4226217626386984
du/dx0,0.0001008119477229997
du/dx0,-1.0
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-0.11418337199896353
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-2.0005686509979
u * du/dx1 or du/dx1 * u,-1.9464720078638595
du/dx0,0.6018668120624993
du/dx0,0.0017125179171119023
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,0.2989033184454559
du/dx0,0.00010081194772294078
du/dx0,-1.0
du/dx0,-0.4881392561530341
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-1.0
d^3u/dx1^3,-0.07062409406542375
du/dx0,-0.4807151111818238
du/dx0,0.0013370816503189542
d^3u/dx1^3,-0.0006129389354674735
u * du/dx1 or du/dx1 * u,0.01170368523400927
u * du/dx1 or du/dx1 * u,-2.002259623481534
du/dx0,-1.0
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,1.1655215278213449
du/dx0,-0.4981835476779603
u * du/dx1 or du/dx1 * u,-0.11418337199896274
du/dx0,-1.0
du/dx0,0.001080404927777705
u * du/dx1 or du/dx1 * u,1.1655184971283286
du/dx0,-0.4984066880112843
u * du/dx1 or du/dx1 * u,1.1655184971283286
du/dx0,-0.4984066880112843
u * du/dx1 or du/dx1 * u,-1.960246576938081
du/dx0,0.8200328577597447
u * du/dx1 or du/dx1 * u,1.1798011710507765
du/dx0,-0.4919664013949356
du/dx0,0.0019011628722124035
d^3u/dx1^3,-0.0019754474660729853
u * du/dx1 or du/dx1 * u,2.2664702260566214
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,2.27188199574152
du/dx0,-1.0
du/dx0,0.002742778606127809
du/dx0,-0.4807151111818238
du/dx0,0.0031480449323395797
du/dx0,0.0013370816503190438
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-0.0901699932552772
du/dx0,-1.0
du/dx0,-1.0
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-1.9567253364761434
du/dx0,0.8196664985454852
du/dx0,0.0023406593415953186
du/dx0,0.0018158888369811457
u * du/dx1 or du/dx1 * u,1.1659539093858777
du/dx0,-0.49812461852680945
u * du/dx1 or du/dx1 * u,-0.0017721096449842444
du/dx0,0.0009201770917189511
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,0.0031480449323395042
u * du/dx1 or du/dx1 * u,1.1744549943014488
du/dx0,-0.5222864185448595
u * du/dx1 or du/dx1 * u,0.9315150080445396
du/dx0,-0.22903747955041795
d^3u/dx1^3,-0.004336662621591869
du/dx0,0.0013370816503190438
du/dx0,-0.010036142958637148
u * du/dx1 or du/dx1 * u,-1.5872506761845273
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,0.010389097558240752
du/dx0,0.0031543159975086074
u * du/dx1 or du/dx1 * u,-2.002145794318813
u * du/dx1 or du/dx1 * u,-1.9955254609256248
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.6797926690925185
u * du/dx1 or du/dx1 * u,-0.7846541182052618
du/dx0,0.0031480449323399544
du/dx0,-0.5558915498611188
u * du/dx1 or du/dx1 * u,0.008486112434751919
du/dx0,0.002558264767033234
u * du/dx1 or du/dx1 * u,-1.9585486104570662
du/dx0,0.8196883840405531
u * du/dx1 or du/dx1 * u,-2.002145794318813
du/dx0,0.002742778606127809
u * du/dx1 or du/dx1 * u,-2.0005686509979
u * du/dx1 or du/dx1 * u,-0.11418337199896274
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.15637404771124402
d^3u/dx1^3,-0.1689098899365235
du/dx0,0.00314804493233962
u * du/dx1 or du/dx1 * u,-0.11418337199896274
du/dx0,-1.0
du/dx0,-1.0
