Term,Coefficient
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03235965293827791
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.030649618036374993
du/dx0,0.8118636519796774
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
du/dx0,-1.0
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
du/dx0,-33.993632129882315
du/dx0,0.00011933994586230896
u * du/dx1 or du/dx1 * u,-0.03124399467128976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.031243994671289754
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03124399467128976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03124399467128976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.031433718170297484
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.030699841141822334
du/dx0,0.8118066638313456
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,-0.03143821039275976
u * du/dx1 or du/dx1 * u,-0.03143821039275976
