Term,Coefficient
du/dx0,0.2993021197482854
u * du/dx1 or du/dx1 * u,0.006237062669624531
u * du/dx1 or du/dx1 * u,0.003895511164118159
u * du/dx1 or du/dx1 * u,-1.0
du/dx0,-0.10172891075458657
u * du/dx1 or du/dx1 * u,-0.006302598756814734
u * du/dx1 or du/dx1 * u,-4.958173498836734
u * du/dx1 or du/dx1 * u,0.005134962834712912
du/dx0,0.00021130348086359653
u * du/dx1 or du/dx1 * u,-0.0021483503886717188
u * du/dx1 or du/dx1 * u,-0.0031484244285661044
du/dx0,-0.0007641834240628083
du/dx0,-0.0014459608996892652
du/dx0,-0.0017716236100776383
u * du/dx1 or du/dx1 * u,-0.583276652406683
du/dx0,0.2997364835643179
u * du/dx1 or du/dx1 * u,0.003895511164118058
du/dx0,-0.004673066696419594
u * du/dx1 or du/dx1 * u,-4.155961695201956
du/dx0,-1.0
u * du/dx1 or du/dx1 * u,0.006024548225216268
u * du/dx1 or du/dx1 * u,-0.00021332326851511367
u * du/dx1 or du/dx1 * u,0.02442624959287277
du/dx0,0.000574723389383096
u * du/dx1 or du/dx1 * u,-0.0031484244285661985
du/dx0,0.2997364835643174
u * du/dx1 or du/dx1 * u,0.0038955111641180706
u * du/dx1 or du/dx1 * u,-0.5814724511726278
du/dx0,0.0003377798083648115
u * du/dx1 or du/dx1 * u,0.0038955111641180784
u * du/dx1 or du/dx1 * u,0.0038955111641181773
u * du/dx1 or du/dx1 * u,0.005134962834713444
u * du/dx1 or du/dx1 * u,0.0038955111641180806
du/dx0,-0.001582213000775343
u * du/dx1 or du/dx1 * u,-0.003187524413791244
u * du/dx1 or du/dx1 * u,0.005134962834712952
u * du/dx1 or du/dx1 * u,0.004686527168961204
u * du/dx1 or du/dx1 * u,0.009744394023606643
du/dx0,-0.0008611134784231468
du/dx0,-0.0017160751760355534
u * du/dx1 or du/dx1 * u,0.006024548225215859
u * du/dx1 or du/dx1 * u,0.006336334939334022
u * du/dx1 or du/dx1 * u,-0.6431476186423577
du/dx0,0.0040449126141128625
du/dx0,0.29930211974828524
u * du/dx1 or du/dx1 * u,-0.5814724511726282
du/dx0,-0.0014001161739185053
d^3u/dx1^3,0.00018402113501207629
du/dx0,-0.00171607517603155
du/dx0,-0.000876869178688935
du/dx0,-0.0008768691786890382
du/dx0,-0.0007641834240629647
du/dx0,0.30953872413935435
du/dx0,-0.0017716236100776958
u * du/dx1 or du/dx1 * u,0.008310472544581981
du/dx0,0.0005931703836196088
du/dx0,-0.0017160751760354376
du/dx0,-0.0007659845414067488
du/dx0,-0.00024384660700964465
d^3u/dx1^3,-0.00020760379037665702
du/dx0,-0.0008836619165359502
u * du/dx1 or du/dx1 * u,-0.5813935596720547
du/dx0,-0.0007662499371571095
u * du/dx1 or du/dx1 * u,-0.0031484244285661044
u * du/dx1 or du/dx1 * u,0.00274891061751588
du/dx0,-0.0007422599320774541
u * du/dx1 or du/dx1 * u,-0.0031875244137926687
u * du/dx1 or du/dx1 * u,-0.6169964130623073
u * du/dx1 or du/dx1 * u,0.001105209385260145
du/dx0,-0.0006920819546639758
du/dx0,0.3027472472847148
du/dx0,0.2993021197482853
u * du/dx1 or du/dx1 * u,0.011997476212366553
u * du/dx1 or du/dx1 * u,0.006336334939334225
du/dx0,-0.0007604105154770327
u * du/dx1 or du/dx1 * u,0.0051349628347129765
d^3u/dx1^3,-0.00030110498677430567
du/dx0,0.2993021197482859
u * du/dx1 or du/dx1 * u,0.0038955111641180303
du/dx0,-0.0007662499371570827
u * du/dx1 or du/dx1 * u,0.006024548225215806
u * du/dx1 or du/dx1 * u,0.0038955111641180706
du/dx0,-0.0017160751760357138
u * du/dx1 or du/dx1 * u,-0.0031484244285661044
u * du/dx1 or du/dx1 * u,0.003895511164117894
du/dx0,-0.0017160751760355534
u * du/dx1 or du/dx1 * u,0.0038955111641180706
du/dx0,-0.0010896553614400024
