Term,Coefficient
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,-0.003645040047597857
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.4010808810088815
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.4010808810088815
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,-0.0036450400475979126
d^2u/dx0^2,-0.003645040047597857
d^2u/dx0^2,-0.0019377760028666453
d^2u/dx0^2,-0.005580460746395504
d^2u/dx1^2,0.7195221519769573
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.4010808810088815
d^2u/dx0^2,0.4010808810088815
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.4010808810088815
d^2u/dx0^2,-0.003645040047597857
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,-0.0036450400475979126
d^2u/dx0^2,0.4010808810088815
d^2u/dx0^2,-0.015027310122153996
d^2u/dx1^2,-0.004606397561353022
d^2u/dx0^2,-0.014853879611853254
d^2u/dx1^2,-0.005016578473974327
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.4010808810088815
d^2u/dx0^2,-0.003645040047597857
d^2u/dx0^2,-0.003645040047597857
d^2u/dx1^2,-0.004883456446313788
d^2u/dx0^2,-0.0035229375081327805
d^2u/dx0^2,0.438435197791564
d^2u/dx0^2,-0.003645040047597857
d^2u/dx1^2,0.7037851221657918
d^2u/dx0^2,-0.003645040047597857
d^2u/dx0^2,-0.0036450400475979126
d^2u/dx1^2,-0.004883456446313697
d^2u/dx0^2,-0.0035229375081328117
d^2u/dx1^2,-1.0
d^2u/dx0^2,-0.003555246079060001
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx1^2,-1.0
d^2u/dx0^2,-0.026286470471275303
d^2u/dx0^2,-0.0036450400475979126
d^2u/dx0^2,-0.003645040047597857
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.4010808810088815
d^2u/dx1^2,-0.0027010178048306995
d^2u/dx0^2,-0.025863416575763774
d^2u/dx1^2,-0.0005817898324616005
d^2u/dx0^2,-0.02548142514364144
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.005312314405346693
d^2u/dx0^2,0.4010808810088815
d^2u/dx1^2,-0.0005817898324619184
d^2u/dx0^2,-0.025481425143640532
d^2u/dx0^2,-0.0036450400475979126
d^2u/dx0^2,-0.0036450400475979126
d^2u/dx0^2,0.438435197791564
d^2u/dx0^2,0.4010808810088815
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.438435197791564
d^2u/dx0^2,0.438435197791564
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx0^2,0.32405377057985485
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,-0.0036450400475979126
d^2u/dx0^2,0.4384351977915601
d^2u/dx0^2,0.4384351977915601
d^2u/dx1^2,-0.0005817898324615408
d^2u/dx0^2,-0.025481425143641295
d^2u/dx0^2,-0.0036450400475979126
d^2u/dx0^2,0.4010808810088815
d^2u/dx0^2,-0.005580460746395504
d^2u/dx0^2,-0.0036450400475979126
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
