Term,Coefficient
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.024022005841558905
d^2u/dx1^2,-0.07342762720438144
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.03195953691293229
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.32606852679314524
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.01780706085237533
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-1.0
d^2u/dx0^2,-0.016529321736381584
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.017807060852369733
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.017807060852369733
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.041277313513389154
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.03314137290373595
d^2u/dx1^2,-0.024022005841558905
d^2u/dx1^2,0.7075151696374905
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.9697339460583715
d^2u/dx1^2,0.000974026346258643
d^2u/dx0^2,-0.026652367064920687
d^2u/dx1^2,-0.07078681954159798
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.01780706085237533
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.01780706085237533
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.01780706085237533
d^2u/dx1^2,0.000974026346258606
d^2u/dx0^2,-0.0266523670649204
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.01780706085237533
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,-0.006410352702353063
d^2u/dx0^2,-0.02653114009533111
d^2u/dx0^2,-0.016529321736381584
d^2u/dx1^2,-0.00013974481300776665
d^2u/dx0^2,-0.02645723042330214
d^2u/dx0^2,-0.026531140095331182
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,-0.006410352702353063
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.12235063775265664
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.025219896564292885
d^2u/dx0^2,0.0011379504904906372
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.017807060852369733
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.017807060852369733
d^2u/dx1^2,-0.024022005841558905
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.07078681954159806
d^2u/dx1^2,-0.024022005841558905
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.017807060852369733
d^2u/dx0^2,-0.026531140095331182
d^2u/dx1^2,-0.023792098338152472
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.017807060852369733
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.01780706085237533
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.01780706085237533
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.01780706085237533
d^2u/dx1^2,-0.02402200584155892
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.001198770269974801
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,0.017807060852369733
d^2u/dx1^2,-1.0
d^2u/dx1^2,-0.024022005841558905
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.0009740263462585684
d^2u/dx0^2,-0.02665236706492043
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
