Term,Coefficient
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
d^2u/dx0^2,-1.0
u,-2.882992215679261
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
d^2u/dx0^2,-1.0
u,-2.869681555782908
d^2u/dx0^2,-1.0
u,-2.8829922156792636
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
d^2u/dx0^2,-1.0
u,-2.8829922156792636
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.2223566799536609
d^2u/dx0^2,-1.0
u,-2.8794983943360273
du/dx0,-0.222356679953661
d^2u/dx0^2,-1.0
u,-2.8794983943360255
