Term,Coefficient
du/dx0,-0.05800299205321009
u,0.10752068402396749
du/dx0,-0.05622316397354344
u,0.03042942292207056
du/dx0,-0.05622316397354344
u,0.03042942292207056
du/dx0,-1.0
u,-0.0289721954642335
du/dx0,-0.05622316397354349
u,0.030429422922070536
du/dx0,-1.0
u,-0.028291858952482037
du/dx0,-0.05622316397354347
u,0.030429422922070598
du/dx0,-1.0
du/dx0,-1.0
u,0.023854766594806207
du/dx0,-0.053793813912467604
u,0.0767251260154484
du/dx0,-0.07754042340463899
u,0.042659922534198286
u,0.06760278536836271
d^2u/dx0^2,0.15437505390112385
u,0.5300271462856362
du/dx0,-0.05292505884484863
u,0.021376984392921856
d^2u/dx0^2,0.15440659973118667
u,0.5303029044188448
du/dx0,-0.0683886505941051
u,0.05320670191869638
du/dx0,-0.055275314022941995
u,0.008952165293507345
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.05622316397354347
u,0.030429422922070598
du/dx0,-0.05622316397354349
u,0.030429422922070536
du/dx0,-1.0
d^2u/dx0^2,-0.02115189044558606
u,-0.02487736735716276
du/dx0,-0.029130500945069183
du/dx0,-1.0
u,-0.19012453102065427
du/dx0,-1.0
du/dx0,-1.0
u,-0.11213614863803126
du/dx0,-0.05622316397354344
u,0.03042942292207056
d^2u/dx0^2,0.019246755817437487
du/dx0,-1.0
u,-0.017524932825172573
du/dx0,-0.05622316397354349
u,0.030429422922070536
u,0.03173384139336539
du/dx0,-0.05690205917118246
u,0.030041934646204235
du/dx0,-0.05622316397354349
u,0.030429422922070536
du/dx0,-1.0
du/dx0,-0.07776880557679519
u,0.0429565120495187
u,0.019851056335256932
du/dx0,-0.05701364741957316
u,0.029774981141972915
du/dx0,-0.011001109008267507
d^2u/dx0^2,0.06713304455443639
du/dx0,-0.0831590273448517
d^2u/dx0^2,-1.0
u,-3.3914928701041833
d^2u/dx0^2,0.1549332465312957
u,0.529004856527473
u,0.038681118997243955
du/dx0,-0.0321264144327346
u,0.012632231423557077
u,0.046331309849350015
du/dx0,-0.05622316397354349
u,0.030429422922070536
du/dx0,-0.05622316397354345
u,0.030429422922070636
du/dx0,-0.05622316397354349
u,0.030429422922070536
du/dx0,-0.07754979415279659
u,0.042672041739985345
du/dx0,-1.0
du/dx0,-0.07196921815557202
u,0.035680881412944565
du/dx0,-0.03212641443273465
u,0.012632231423557096
d^2u/dx0^2,0.15440659973118676
u,0.5303029044188448
du/dx0,-0.05622316397354349
u,0.030429422922070536
du/dx0,-1.0
d^2u/dx0^2,0.04460243703594922
d^2u/dx0^2,0.15440659973118667
u,0.5303029044188448
du/dx0,-1.0
u,-0.01896582054596552
du/dx0,-0.056223163973543405
u,0.030429422922070598
du/dx0,-0.05513995088732867
u,0.008686301847189992
du/dx0,-0.05622316397354344
u,0.03042942292207056
du/dx0,-0.056223163973543405
u,0.030429422922070598
du/dx0,-0.056223163973543405
u,0.030429422922070598
du/dx0,-0.5708428701665236
du/dx0,-0.05622316397354349
u,0.030429422922070536
du/dx0,-0.05622316397354349
u,0.030429422922070536
du/dx0,-0.05527612083588715
u,0.008954451956543435
du/dx0,-0.05622316397354347
u,0.030429422922070598
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.07515980355824858
u,0.013290431097746285
du/dx0,-1.0
du/dx0,-0.05379381391246768
u,0.07672512601544852
du/dx0,-0.05622316397354345
u,0.030429422922070636
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.056223163973543405
u,0.030429422922070598
du/dx0,-0.05622316397354347
u,0.030429422922070598
du/dx0,-0.05512293432062183
u,0.008663623277120926
du/dx0,-0.05622316397354347
u,0.030429422922070598
u,0.026200628284265542
du/dx0,-0.056223163973543405
u,0.030429422922070598
du/dx0,-0.03191429858234433
du/dx0,-0.05622316397354345
u,0.030429422922070636
du/dx0,-0.05622316397354349
u,0.030429422922070536
d^2u/dx0^2,0.15437505390112366
u,0.5300271462856353
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.057079801861782443
u,0.025773287119663976
du/dx0,-0.032126414432734715
u,0.012632231423557013
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.05622316397354344
u,0.03042942292207056
du/dx0,-0.05622316397354349
u,0.03042942292207058
u,0.03746432217759297
du/dx0,-0.05622316397354344
u,0.03042942292207056
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.05622316397354345
u,0.030429422922070636
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.056223163973543405
u,0.030429422922070598
du/dx0,-0.28392872693126253
u,0.017495355972778175
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.05622316397354344
u,0.03042942292207056
du/dx0,-0.05622316397354345
u,0.030429422922070636
du/dx0,-1.0
du/dx0,-0.07163045131703
u,0.05642252891815953
du/dx0,-0.09746304697731649
du/dx0,-0.05622316397354345
u,0.030429422922070636
du/dx0,-0.056223163973543405
u,0.030429422922070598
du/dx0,-1.0
du/dx0,-0.05622316397354347
u,0.030429422922070598
du/dx0,-0.05506263386647443
u,0.008584314266482549
du/dx0,-0.05622316397354349
u,0.030429422922070536
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.05622316397354345
u,0.030429422922070636
du/dx0,-0.056223163973543405
u,0.030429422922070598
du/dx0,-1.0
u,-0.08605468038845003
du/dx0,-0.03212641443273469
u,0.01263223142355748
du/dx0,-0.05622316397354349
u,0.030429422922070536
du/dx0,0.013545857263602029
d^2u/dx0^2,0.16132412875007646
u,0.5542650251351564
du/dx0,-0.05622316397354349
u,0.03042942292207058
u,-0.06579258855255665
du/dx0,-0.03882537164714715
u,0.015248856725023475
du/dx0,-0.05622316397354344
u,0.03042942292207056
u,0.027146982751780756
du/dx0,-1.0
u,-0.03373486015305854
du/dx0,-0.055122452517868986
u,0.008662993286273334
du/dx0,-0.1332659248733097
u,-0.1239666795192677
d^2u/dx0^2,0.15440659973118667
u,0.5303029044188448
du/dx0,-1.0
u,-0.1958973837287992
du/dx0,-0.05622316397354349
u,0.03042942292207058
du/dx0,-0.05622316397354344
