Term,Coefficient
du/dx0,-1.0
u,-0.2822589097579957
du/dx0,-1.0
du/dx0,-0.24872928924508528
d^2u/dx0^2,-1.0
u,-3.076816300966235
du/dx0,-0.24872928924508483
d^2u/dx0^2,-1.0
u,-3.076816300966236
du/dx0,-0.09371429832911303
d^2u/dx0^2,-1.0
u,-3.407819250446939
du/dx0,-0.2564201537413139
d^2u/dx0^2,-1.0
u,-2.8586551948030605
du/dx0,-0.10139255152331679
u,0.00880736759849774
u,0.24069109751484125
u,-0.033149319367332286
du/dx0,-0.022681865527119927
u,-0.006918264603992558
du/dx0,-0.01828268736060351
du/dx0,-1.0
u,-0.26640500940059686
du/dx0,-0.03641787901597172
u,-0.03147535900362772
du/dx0,-0.09682126523090628
u,0.007477116113196396
du/dx0,0.22348387120745553
u,0.6933595801891327
du/dx0,-0.015165414630295249
d^2u/dx0^2,0.009599125380073839
du/dx0,0.07709363313875761
u,0.30346325712633404
du/dx0,-1.0
du/dx0,-0.09060951692559165
u,-0.028180626169529557
du/dx0,-0.27116346755684356
d^2u/dx0^2,-1.0
u,-2.94949310043036
du/dx0,-0.24872928924508483
d^2u/dx0^2,-1.0
u,-3.076816300966236
du/dx0,-0.017783885879921347
u,-0.03187472208236734
du/dx0,-0.24872928924508542
d^2u/dx0^2,-1.0
u,-3.076816300966234
du/dx0,-1.0
u,-0.2898948941721481
du/dx0,-0.10877200762021667
du/dx0,-0.25610819973951293
d^2u/dx0^2,-1.0
u,-2.856635392801077
du/dx0,-0.0968212652309063
u,0.007477116113196414
d^2u/dx0^2,0.011052368013832777
du/dx0,-0.25612478789539683
d^2u/dx0^2,-1.0
u,-3.015664696347899
du/dx0,0.07715655848701203
u,0.29388819575329167
du/dx0,-0.2725409757950071
d^2u/dx0^2,-1.0
u,-2.9472877013495853
u,-0.03256849615812326
du/dx0,-0.2756252081237919
d^2u/dx0^2,-1.0
u,-3.0487549345706837
du/dx0,-0.2735533877902063
d^2u/dx0^2,-1.0
u,-2.945694259701452
du/dx0,-0.25612215825825846
d^2u/dx0^2,-1.0
u,-2.856603827371251
du/dx0,-0.22902932530195227
d^2u/dx0^2,-1.0
u,-2.844527688278635
du/dx0,-0.09682126523090628
u,0.007477116113196396
du/dx0,-0.09682126523090626
u,0.007477116113196379
du/dx0,-0.25757005811911055
d^2u/dx0^2,-1.0
u,-2.9957039960222236
du/dx0,-0.273807491340382
d^2u/dx0^2,-1.0
u,-2.945298341430871
du/dx0,-0.24872928924508494
d^2u/dx0^2,-1.0
u,-3.0768163009662377
du/dx0,-0.24872928924508447
d^2u/dx0^2,-1.0
u,-3.0768163009662364
du/dx0,-0.2487292892450848
d^2u/dx0^2,-1.0
u,-3.076816300966236
d^2u/dx0^2,0.011052368013832756
du/dx0,-0.2808774983633432
d^2u/dx0^2,-1.0
u,-2.9360294706847196
du/dx0,-0.2263941332449749
d^2u/dx0^2,-1.0
u,-2.8462598555130967
d^2u/dx0^2,-1.0
u,-3.4184084841502433
du/dx0,-0.11228768993844217
du/dx0,-0.2400453661193248
d^2u/dx0^2,-1.0
u,-3.5638919883243996
u,-0.034748032503699906
du/dx0,-0.27098070867212265
d^2u/dx0^2,-1.0
u,-2.949788722152499
du/dx0,-0.22837163397963392
d^2u/dx0^2,-1.0
u,-3.0625829611544315
u,-0.03426940055283138
du/dx0,-0.2453390649168702
d^2u/dx0^2,-1.0
u,-2.991036461760495
du/dx0,-0.09122587799101783
du/dx0,-0.2709807086721227
d^2u/dx0^2,-1.0
u,-2.9497887221525
du/dx0,-0.09682126523090626
u,0.007477116113196379
du/dx0,-0.27161245805233025
d^2u/dx0^2,-1.0
u,-2.9487697905906165
du/dx0,-0.2716124580523307
d^2u/dx0^2,-1.0
u,-2.94876979059062
u,-0.14030142120892053
du/dx0,3.9944101673249826
du/dx0,-0.017783885879921597
u,-0.031874722082368266
du/dx0,-0.24872928924508447
d^2u/dx0^2,-1.0
u,-3.0768163009662364
du/dx0,-0.26058345983397024
d^2u/dx0^2,-1.0
u,-3.7580164618567315
du/dx0,0.08607302535378024
u,0.3005921580965947
du/dx0,-0.2574922551661949
d^2u/dx0^2,-1.0
u,-2.9986108639687115
du/dx0,-0.24872928924508447
d^2u/dx0^2,-1.0
u,-3.0768163009662364
