Term,Coefficient
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12409175045934026
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12375379986952002
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.12409175045934026
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06265069938616012
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.12409175045934026
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12411809531550841
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.12390343328577982
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06202057431727133
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626506993861613
d^2u/dx0^2,-1.0
